Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
152435,"Steps to an Ecology of Mind: Collected Essays in Anthropology, Psychiatry, Evolution, and Epistemology",Gregory Bateson,"Bateson, Gregory",,"=""0226039056""","=""9780226039053""",0,4.26,University of Chicago Press,Paperback,533,2000,1972,,2021/05/22,to-read,to-read (#21),to-read,,,,0,0
28116739,Other Minds,Peter Godfrey-Smith,"Godfrey-Smith, Peter",,"=""0374227764""","=""9780374227760""",0,3.88,"Farrar, Straus and Giroux",Hardcover,257,2016,2016,,2021/05/22,to-read,to-read (#20),to-read,,,,0,0
18850640,Philosophy of Biology,Peter Godfrey-Smith,"Godfrey-Smith, Peter",,"=""1400850444""","=""9781400850440""",0,3.73,Princeton University Press,Kindle Edition,200,2013,2013,,2021/05/22,to-read,to-read (#19),to-read,,,,0,0
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",0,4.16,Oxford University Press,Paperback,360,2006,1976,,2021/05/22,to-read,to-read (#18),to-read,,,,0,0
61538,The Extended Phenotype: The Long Reach of the Gene (Popular Science),Richard Dawkins,"Dawkins, Richard",,"=""0192880519""","=""9780192880512""",0,4.12,Oxford University Press,Paperback,336,1999,1982,,2021/05/22,to-read,to-read (#17),to-read,,,,0,0
12914,The Aeneid,Virgil,"Virgil, Virgil",Robert Fitzgerald,"=""0679729526""","=""9780679729525""",0,3.87,Vintage,Paperback,442,1990,-19,,2021/05/17,to-read,to-read (#16),to-read,,,,0,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",0,4.11,Flatiron Books,Hardcover,354,2017,2017,,2021/05/12,to-read,to-read (#15),to-read,,,,0,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",0,4.02,Viking,Hardcover,496,2014,1939,,2021/05/06,to-read,to-read (#14),to-read,,,,0,0
16902,"Walden or, Life in the Woods",Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.78,Princeton University Press,Paperback,352,2004,1854,,2021/05/06,to-read,to-read (#13),to-read,,,,0,0
796267,"Justine, or The Misfortunes of Virtue",Marquis de Sade,"Sade, Marquis de","Hollibooks, Andrea Gouveia, Eleanor K. Smith","=""950877035X""","=""9789508770356""",0,3.42,AC,Paperback,264,2003,1787,,2021/05/06,to-read,to-read (#12),to-read,,,,0,0
28922,An Artist of the Floating World,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571225365""","=""9780571225361""",0,3.78,Faber and Faber,Paperback,206,2005,1986,,2021/05/06,to-read,to-read (#11),to-read,,,,0,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",3,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2021/05/05,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",1,4.12,Dutton Books,Hardcover,313,2012,2012,,2021/05/05,,,read,,,,1,0
34506,"The Light Fantastic (Discworld, #2; Rincewind, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020702""","=""9780061020704""",0,4.01,HarperTorch,Mass Market Paperback,277,2000,1986,,2021/05/04,to-read,to-read (#9),to-read,,,,0,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.25,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,,2021/05/04,to-read,to-read (#8),to-read,,,,0,0
140475,In Evil Hour,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""0060919647""","=""9780060919641""",4,3.42,HarperPerennial,Paperback,192,1991,1962,,2021/04/30,,,read,,,,1,0
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083690""","=""9780807083697""",0,4.31,Beacon Press,Paperback,288,2004,1979,,2021/05/03,to-read,to-read (#7),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2021/05/03,,,read,,,,1,0
6149,"Beloved (Beloved Trilogy, #1)",Toni Morrison,"Morrison, Toni",,"=""""","=""9781400033416""",0,3.97,Vintage,Paperback,325,2004,1987,,2021/05/03,to-read,to-read (#6),to-read,,,,0,0
38462,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.34,Penguin,Paperback,159,2000,1956,,2021/05/03,to-read,to-read (#5),to-read,,,,0,0
4950,The Hungry Tide,Amitav Ghosh,"Ghosh, Amitav",,"=""061871166X""","=""9780618711666""",0,3.99,Harper Perennial,Paperback,333,2006,2004,,2021/04/30,to-read,to-read (#4),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2021/04/30,to-read,to-read (#2),to-read,,,,0,0
56912,The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism,Ross King,"King, Ross",,"=""0802715168""","=""9780802715166""",0,3.85,Bloomsbury USA,Paperback,464,2007,2006,,2021/04/30,to-read,to-read (#1),to-read,,,,0,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5,4.29,Houghton Mifflin,Paperback,366,2002,1937,,2021/04/30,,,read,,,,1,0
